0 ; -1.88
1 ; -1.88
2 ; -1.9
3 ; -1.9
4 ; -1.91
5 ; -1.9
6 ; -1.9
7 ; -1.89
8 ; -1.89
9 ; -1.87
10 ; -1.6
11 ; -0.83
12 ; -0.3
13 ; -0.14
14 ; -0.05
13.5 ; -0.11
12.5 ; -0.28
11.5 ; -0.54
10.5 ; -1.35
9.5 ; -1.76
8.5 ; -1.89
7.5 ; -1.88
0 ; -1.88
-1 ; -1.87
-2 ; -1.87
-3 ; -1.89
-4 ; -1.89
-5 ; -1.9
-6 ; -1.9
-7 ; -1.9
-7.5 ; -1.89
-8 ; -1.86
-8.5 ; -1.64
-9 ; -1.5
-9.5 ; -1.1
-10 ; -1.1
-10.5 ; -0.76
-11 ; -0.5
-11.5 ; -0.26
-12 ; -0.11
-12.5 ; -0.1
-13 ; -0.08
-13.5 ; -0.06
-14 ; -0.06
